housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
38,1764,397,987,354,2.4333,NEAR BAY,98200
50,1187,261,907,246,1.9479,NEAR BAY,89500
52,754,175,447,165,3.9063,NEAR BAY,93800
49,2308,452,1299,451,1.8407,NEAR BAY,96700
27,909,236,396,157,2.0786,NEAR BAY,97500
42,1180,257,877,268,2.8125,NEAR BAY,97300
43,2018,408,1111,367,1.8913,NEAR BAY,91200
49,1368,282,790,269,1.7056,NEAR BAY,91400
52,2744,547,1479,554,2.2768,NEAR BAY,96200
51,2107,471,1173,438,3.2552,NEAR BAY,120100
52,1748,362,1029,366,2.0556,NEAR BAY,100000
52,2024,391,1030,350,2.4659,NEAR BAY,94700
47,1116,259,826,279,1.75,NEAR BAY,85700
41,2036,510,1412,454,2.0469,NEAR BAY,89300
45,1852,393,1132,349,2.7159,NEAR BAY,101400
41,921,207,522,159,1.2083,NEAR BAY,72500
45,995,238,630,237,1.925,NEAR BAY,74100
36,606,132,531,133,1.5809,NEAR BAY,70000
37,2680,736,1925,667,1.4097,NEAR BAY,84600
38,1493,370,1144,351,0.7683,NEAR BAY,81800
19,2207,565,1481,520,1.3194,NEAR BAY,81400
28,856,189,435,162,0.8012,NEAR BAY,81800
26,1293,297,984,303,1.9479,NEAR BAY,85800
36,847,212,567,159,1.1765,NEAR BAY,87100
42,541,154,380,123,2.3456,NEAR BAY,83500
44,1066,253,825,244,2.1538,NEAR BAY,79700
43,707,147,417,155,2.5139,NEAR BAY,83400
45,1528,291,801,287,1.2625,NEAR BAY,84700
42,909,215,646,198,2.9063,NEAR BAY,80000
43,1391,293,855,285,2.5192,NEAR BAY,76400
44,548,119,435,136,2.1111,NEAR BAY,79700
42,4074,874,2736,780,2.455,NEAR BAY,82400
41,1613,445,1481,414,2.4028,NEAR BAY,97700
47,463,134,327,137,2.15,NEAR BAY,97200
43,818,193,494,179,2.4776,NEAR BAY,101600
43,1473,371,1231,341,2.1587,NEAR BAY,86500
35,504,126,323,109,1.8438,NEAR BAY,90500
46,1026,226,749,225,3.0298,NEAR BAY,107600
46,769,183,693,178,2.25,NEAR BAY,84200
46,2103,391,1339,354,2.2467,NEAR BAY,88900
45,330,76,282,80,4.0469,NEAR BAY,80700
46,941,218,621,195,1.325,NEAR BAY,87100
45,990,261,901,260,2.1731,NEAR BAY,82000
36,1126,263,482,150,1.9167,NEAR BAY,82800
43,1036,233,652,213,2.069,NEAR BAY,84600
36,1047,214,651,166,1.712,NEAR BAY,82100
33,1280,307,999,286,2.5625,NEAR BAY,89300
43,1587,320,907,306,1.9821,NEAR BAY,98300
41,1257,271,828,230,2.5043,NEAR BAY,92300
44,1218,248,763,254,2.3281,NEAR BAY,88800
48,1751,390,935,349,1.4375,NEAR BAY,90000
45,2299,514,1437,484,2.5122,NEAR BAY,95500
38,2457,624,1516,482,1.5625,NEAR BAY,91700
47,998,211,597,185,3.1587,NEAR BAY,100400
40,1685,343,949,342,1.8426,NEAR BAY,94800
46,1827,307,881,302,4.6696,NEAR BAY,164300
36,2781,574,1438,519,2.4598,NEAR BAY,155500
39,1823,286,763,270,6.0749,NEAR BAY,196900
27,2229,365,1297,355,4.8304,NEAR BAY,279100
34,1513,231,545,211,5.5701,NEAR BAY,252800
26,3266,491,1222,533,5.37,NEAR BAY,275400
33,1809,261,808,219,6.86,NEAR BAY,250000
28,794,111,329,109,7.6923,NEAR BAY,329800
36,690,105,299,109,4.0313,NEAR BAY,195500
33,1334,200,579,202,6.8323,NEAR BAY,255900
30,414,54,137,50,4.975,NEAR BAY,311100
36,768,93,229,93,5.3602,NEAR BAY,330000
41,4400,666,1476,648,5,NEAR BAY,248900
46,954,161,429,154,2.925,NEAR BAY,142900
40,1445,256,849,255,3.8913,NEAR BAY,126300
44,1938,399,946,331,3.225,NEAR BAY,135800
41,856,178,571,191,3.1458,NEAR BAY,130600
24,1790,454,1137,386,2.537,NEAR BAY,107900
44,617,131,378,135,2.5568,NEAR BAY,111100
43,1383,275,853,272,3.5083,NEAR BAY,122000
49,1325,277,764,282,3.3125,NEAR BAY,118000
40,1227,294,928,261,1.8235,NEAR BAY,95200
35,667,140,406,133,3.8047,NEAR BAY,94300
34,1223,281,824,280,2.2917,NEAR BAY,92500
37,1379,287,835,259,2.4962,NEAR BAY,91800
43,1534,300,826,295,4.0417,NEAR BAY,109400
46,1029,181,567,211,3.4844,NEAR BAY,129500
52,771,147,355,144,4.1458,NEAR BAY,143400
47,824,223,533,166,2.625,NEAR BAY,98200
44,1097,239,609,215,2.0227,NEAR BAY,103100
49,1283,238,576,236,3.3333,NEAR BAY,276800
52,1604,263,594,286,5.338,NEAR BAY,270900
52,2248,422,870,377,3.4732,NEAR BAY,246200
38,2263,522,1027,509,3.5125,NEAR BAY,224200
52,1571,349,693,326,3.1375,NEAR BAY,229100
46,1520,402,815,375,2.8036,NEAR BAY,211600
15,5083,1212,2420,1146,4.5824,NEAR BAY,256100
36,1077,293,518,276,3.0208,NEAR BAY,206300
52,1248,283,620,275,4.0875,NEAR BAY,221300
42,1342,291,551,266,4.5268,NEAR BAY,207400
37,3061,930,2556,924,1.7375,NEAR BAY,350000
52,3171,698,1498,696,3.1795,NEAR BAY,218200
50,1211,261,523,227,3.8672,NEAR BAY,216700
52,979,175,374,153,5.1675,NEAR BAY,270600
52,2269,380,1004,371,5.1696,NEAR BAY,261400
52,1844,332,769,334,4.2614,NEAR BAY,261300
52,2178,421,940,423,5.0551,NEAR BAY,232200
42,1650,274,645,256,5.6228,NEAR BAY,375400
52,1927,279,705,288,7.8864,NEAR BAY,357300
52,2079,273,684,275,7.9556,NEAR BAY,374400
52,1803,240,572,236,6.174,NEAR BAY,358800
52,2041,270,671,253,6.9414,NEAR BAY,417500
52,3046,373,975,365,8.8342,NEAR BAY,430500
52,2318,328,779,312,7.1754,NEAR BAY,362900
52,2003,250,658,244,10.0825,NEAR BAY,397000
52,2261,328,819,335,4.9083,NEAR BAY,346800
52,1225,169,412,168,5.7912,NEAR BAY,327100
52,2315,408,835,369,4.5893,NEAR BAY,290100
52,2070,329,722,306,5.4171,NEAR BAY,292000
52,2616,473,1085,487,4.125,NEAR BAY,270900
52,2640,366,973,355,7.266,NEAR BAY,371100
52,1978,293,723,272,5.3989,NEAR BAY,335600
37,2220,335,903,362,7.8336,NEAR BAY,371300
41,1125,195,356,181,6.1593,NEAR BAY,344000
52,3078,494,1005,462,6.381,NEAR BAY,342200
52,3706,531,1205,504,6.6828,NEAR BAY,370900
37,3000,457,987,450,7.5385,NEAR BAY,350000
42,2863,460,1031,448,6.7138,NEAR BAY,368600
52,2551,417,894,404,6.2425,NEAR BAY,391800
52,2255,410,823,377,5.7979,NEAR BAY,415300
52,3360,648,1232,621,4.2813,NEAR BAY,284900
52,1693,391,669,367,3.5417,NEAR BAY,287500
44,2252,592,989,550,3.0132,NEAR BAY,272900
52,2495,491,1058,464,4.1429,NEAR BAY,259600
52,1193,200,506,207,4.1912,NEAR BAY,254500
52,1172,215,489,218,3.9167,NEAR BAY,235600
52,2159,424,824,388,3.8897,NEAR BAY,218400
48,2365,490,1034,475,3.1065,NEAR BAY,229200
46,1895,442,920,425,2.9926,NEAR BAY,192100
52,1650,395,841,380,3.556,NEAR BAY,179300
45,453,146,749,137,1.475,NEAR BAY,187500
52,409,97,208,98,1.6971,NEAR BAY,138800
10,503,118,228,100,2.1705,NEAR BAY,150000
50,499,127,287,128,2.75,NEAR BAY,140600
52,477,119,218,106,2.5682,NEAR BAY,120000
46,1647,376,854,355,2.9,NEAR BAY,144800
52,3123,749,1695,684,2.2208,NEAR BAY,144800
52,957,188,403,172,3.2344,NEAR BAY,245500
52,589,132,288,131,3.5156,NEAR BAY,200000
49,2026,548,963,521,1.9805,NEAR BAY,173700
50,1829,536,1129,516,2.6684,NEAR BAY,185600
52,895,198,386,204,3.875,NEAR BAY,182600
52,1909,416,811,406,3.006,NEAR BAY,227900
46,3022,696,1293,675,2.543,NEAR BAY,220700
46,1777,446,805,431,2.8676,NEAR BAY,212000
52,2803,930,1372,876,2.1907,NEAR BAY,271400
30,1465,439,862,425,1.7778,NEAR BAY,268800
37,2619,682,1152,616,2.52,NEAR BAY,277800
52,1149,255,483,249,4.2788,NEAR BAY,332500
52,2363,604,1558,573,2.944,NEAR BAY,338900
52,2604,837,1798,769,1.725,NEAR BAY,287500
41,685,141,266,123,5.2289,NEAR BAY,384600
42,1756,465,2184,422,2.5562,NEAR BAY,371400
52,1204,460,2016,477,0.949,NEAR BAY,350000
52,609,236,1349,250,1.1696,NEAR BAY,500001
52,1087,371,3337,350,1.4012,NEAR BAY,175000
52,2773,998,1721,949,1.1859,NEAR BAY,241700
35,3218,1108,1675,1000,1.7464,NEAR BAY,216700
49,1350,368,707,350,2.8846,NEAR BAY,211300
52,3084,698,1424,694,2.7372,NEAR BAY,210200
52,938,195,393,189,3.8594,NEAR BAY,196400
52,1813,353,828,339,3.5625,NEAR BAY,191700
52,1233,300,571,292,2.2788,NEAR BAY,182300
44,2539,755,1382,713,2.537,NEAR BAY,175000
46,1267,324,792,321,2.525,NEAR BAY,165900
52,1665,404,815,372,1.9946,NEAR BAY,156900
52,1659,367,788,346,2.8214,NEAR BAY,164300
52,2225,460,1145,430,2.6165,NEAR BAY,150000
50,2485,607,1354,563,1.9483,NEAR BAY,150500
52,2031,450,958,445,1.9327,NEAR BAY,169900
49,2932,668,1361,608,1.9798,NEAR BAY,147400
52,2246,472,1005,449,2.4167,NEAR BAY,152700
49,2052,435,924,414,2.5417,NEAR BAY,182700
52,1999,417,780,358,3.3906,NEAR BAY,179300
52,3007,691,1582,636,2.5652,NEAR BAY,157700
41,2214,550,1213,568,2.2845,NEAR BAY,153100
52,1088,305,486,267,2.6071,NEAR BAY,250000
52,834,186,494,175,3.15,NEAR BAY,206300
52,1769,372,849,365,2.6914,NEAR BAY,218800
52,2307,583,1127,548,1.8447,NEAR BAY,198200
35,5161,1744,3276,1742,1.6307,NEAR BAY,253600
52,3497,832,1493,794,2.9044,NEAR BAY,257400
52,3774,744,1461,679,2.9405,NEAR BAY,289500
52,2888,604,1253,538,3.3893,NEAR BAY,241700
48,2153,517,1656,459,3.0417,NEAR BAY,489600
52,1389,191,514,202,7.0897,NEAR BAY,446200
52,1709,318,719,295,5.0463,NEAR BAY,456300
52,1587,444,878,449,1.7652,NEAR BAY,336800
52,1668,225,517,214,7.8521,NEAR BAY,500001
52,3726,474,1366,496,9.3959,NEAR BAY,500001
52,4048,663,1316,590,5.3794,NEAR BAY,376900
52,3618,768,1508,755,3.2619,NEAR BAY,309600
52,4076,920,1800,815,2.7054,NEAR BAY,182300
47,2077,400,719,326,2.2431,NEAR BAY,172700
50,1279,300,675,255,1.9028,NEAR BAY,150800
52,1974,426,875,363,1.5817,NEAR BAY,153600
52,335,83,152,77,2.2841,NEAR BAY,106300
47,1375,307,843,319,1.3785,NEAR BAY,142300
52,610,145,281,132,2.9018,NEAR BAY,119400
44,1025,198,506,204,1.73,NEAR BAY,147900
48,2063,484,1054,466,2.2625,NEAR BAY,132900
35,1872,419,1017,414,2.2106,NEAR BAY,132500
52,3108,813,1623,765,2.6997,NEAR BAY,126900
14,7355,2408,3100,2051,4.0018,NEAR BAY,143800
52,2990,379,947,361,7.8772,NEAR BAY,500001
39,2492,310,808,315,11.8603,NEAR BAY,500001
42,2991,335,1018,335,13.499,NEAR BAY,500001
52,3242,366,1001,352,12.2138,NEAR BAY,500001
52,3051,381,1005,369,8.1872,NEAR BAY,466100
52,3494,396,1192,383,12.3804,NEAR BAY,500001
52,1757,246,585,227,5.8948,NEAR BAY,457800
